SiteID,sinu,upland,scrub,wetland,Dec_long,Dec_lat,hist_fire,current_fire
1,1,0.203703704,0,0.703703704,-86.7108,30.6553,2.222222222,5
2,1.034352221,0.615384615,0.019230769,0.326923077,-86.7742,30.6308,2,6
3,1.16178094,0.75,0.107142857,0.035714286,-86.7908,30.6261,2.857142857,3
4,1.012683342,0.285714286,0.053571429,0.553571429,-86.8025,30.6214,2.222222222,3
5,1.128545873,0.754716981,0.037735849,0.056603774,-86.8169087,30.60725604,2.222222222,2
6,1.023515459,0.679245283,0.150943396,0.132075472,-86.9053,30.47,10,0
7,1.01839486,1,0,0,-86.9483,30.5369,4,3
8,0.997114446,0.709090909,0.018181818,0.272727273,-86.6881,30.6603,2.222222222,4
9,1.040989477,0.418181818,0.090909091,0.381818182,-86.7569,30.6467,2.5,3
10,1.077768561,0.833333333,0.055555556,0.111111111,-86.3675,30.7017,5,2
11,1.041009464,0.945454545,0,0.054545455,-86.3208,30.705,3.333333333,4
12,1.038659067,0.611111111,0.092592593,0.055555556,-86.7198273,30.49488339,2.222222222,5
13,1.031921068,0.423076923,0.038461538,0.326923077,-86.67034988,30.50905962,5,2
14,1.421966283,0.528301887,0.113207547,0.150943396,-86.71461412,30.51097405,2.222222222,4
15,1.029388955,0.490909091,0.072727273,0.181818182,-86.73581533,30.46419288,2.5,3
16,1.021289464,0.6,0.072727273,0.090909091,-86.7719,30.6372,2.857142857,4
17,1,0.277777778,0.12962963,0.481481481,-86.8586,30.4442,10,0
18,1,0.25,0.057692308,0.653846154,-86.8425,30.4389,10,0
19,1.284926022,0.611111111,0,0.388888889,-86.8056,30.4325,2.222222222,3
20,1,0.636363636,0.018181818,0.345454545,-86.7042,30.4936,2.857142857,5
21,1,0.703703704,0.018518519,0.222222222,-86.7861,30.4517,2,4
22,1.035237951,0.925925926,0.018518519,0.037037037,-86.8033,30.4536,2.222222222,4
23,1,0.8,0.018181818,0.181818182,-86.8164,30.4564,2.222222222,4
24,1.042543681,0.666666667,0,0.333333333,-86.8164,30.4639,2.857142857,3
