SiteID,Longitude,Latitude,Fire ID,Start Date,Year,Month,Day,Contain Date,Year,Month,Day,Type
1,-86.7108,30.6553,7317,20120723,2012,7,23,20120723,2012,7,23,prescribed
1,-86.7108,30.6553,66628,20190428,2019,4,28,20190428,2019,4,28,prescribed
1,-86.7108,30.6553,4833,20031231,2003,12,31,20031231,2003,12,31,prescribed
1,-86.7108,30.6553,3409,19890201,1989,2,1,19890201,1989,2,1,unknown
1,-86.7108,30.6553,6545,20100112,2010,1,12,20100112,2010,1,12,prescribed
1,-86.7108,30.6553,3161,19930201,1993,2,1,19930201,1993,2,1,unknown
1,-86.7108,30.6553,4079,19990304,1999,3,4,19990304,1999,3,4,prescribed
1,-86.7108,30.6553,5762,20070208,2007,2,8,20070208,2007,2,8,prescribed
1,-86.7108,30.6553,36377,20150702,2015,7,2,20150702,2015,7,2,prescribed
2,-86.7742,30.6308,4660,20030218,2003,2,18,20030218,2003,2,18,prescribed
2,-86.7742,30.6308,7178,20120205,2012,2,5,20120205,2012,2,5,prescribed
2,-86.7742,30.6308,3453,19880201,1988,2,1,19880201,1988,2,1,unknown
2,-86.7742,30.6308,3407,19890201,1989,2,1,19890201,1989,2,1,unknown
2,-86.7742,30.6308,66360,20190126,2019,1,26,20190126,2019,1,26,prescribed
2,-86.7742,30.6308,7555,20130422,2013,4,22,20130422,2013,4,22,prescribed
2,-86.7742,30.6308,5515,20060227,2006,2,27,20060228,2006,2,28,wild
2,-86.7742,30.6308,3001,19950201,1995,2,1,19950201,1995,2,1,unknown
2,-86.7742,30.6308,36312,20150330,2015,3,30,20150330,2015,3,30,prescribed
2,-86.7742,30.6308,6515,20091207,2009,12,7,20091207,2009,12,7,prescribed
3,-86.7908,30.6261,5782,20070207,2007,2,7,20070207,2007,2,7,prescribed
3,-86.7908,30.6261,4964,20040505,2004,5,5,20040505,2004,5,5,prescribed
3,-86.7908,30.6261,36167,20140523,2014,5,23,20140523,2014,5,23,prescribed
3,-86.7908,30.6261,4377,20010330,2001,3,30,20010330,2001,3,30,prescribed
3,-86.7908,30.6261,3002,19950201,1995,2,1,19950201,1995,2,1,unknown
3,-86.7908,30.6261,5132,20041228,2004,12,28,20041228,2004,12,28,prescribed
3,-86.7908,30.6261,67114,20200301,2020,3,1,20200301,2020,3,1,prescribed
4,-86.8025,30.6214,3159,19930201,1993,2,1,19930201,1993,2,1,unknown
4,-86.8025,30.6214,6529,20100107,2010,1,7,20100107,2010,1,7,prescribed
4,-86.8025,30.6214,2982,19950201,1995,2,1,19950201,1995,2,1,unknown
4,-86.8025,30.6214,4847,20040111,2004,1,11,20040111,2004,1,11,prescribed
4,-86.8025,30.6214,3338,19900201,1990,2,1,19900201,1990,2,1,unknown
4,-86.8025,30.6214,36167,20140523,2014,5,23,20140523,2014,5,23,prescribed
4,-86.8025,30.6214,3645,19800201,1980,2,1,19800201,1980,2,1,unknown
4,-86.8025,30.6214,3408,19890201,1989,2,1,19890201,1989,2,1,unknown
4,-86.8025,30.6214,5967,20071202,2007,12,2,20071202,2007,12,2,prescribed
5,-86.8169087,30.60725604,3658,19800201,1980,2,1,19800201,1980,2,1,unknown
5,-86.8169087,30.60725604,3159,19930201,1993,2,1,19930201,1993,2,1,unknown
5,-86.8169087,30.60725604,6529,20100107,2010,1,7,20100107,2010,1,7,prescribed
5,-86.8169087,30.60725604,2982,19950201,1995,2,1,19950201,1995,2,1,unknown
5,-86.8169087,30.60725604,4847,20040111,2004,1,11,20040111,2004,1,11,prescribed
5,-86.8169087,30.60725604,3338,19900201,1990,2,1,19900201,1990,2,1,unknown
5,-86.8169087,30.60725604,3502,19880201,1988,2,1,19880201,1988,2,1,unknown
5,-86.8169087,30.60725604,3408,19890201,1989,2,1,19890201,1989,2,1,unknown
5,-86.8169087,30.60725604,5967,20071202,2007,12,2,20071202,2007,12,2,prescribed
